role_id,company,role_title,expected_recommendation,actual_recommendation,fit_score,estimated_level,level_confidence,level_rationale,expected_blocked,actual_blocked,blocker_match,surface_match,all_surfaced_match,evaluator_version
LNP-013,Snowflake,Global Account Manager - HSBC,skip,skip,26,L5,73,"Global Account Manager at a large, high-growth public SaaS company (Snowflake) with 10–15+ years field sales expected, managing seven-figure strategic accounts and account teams at regional scope. Reporting context not stated. Role maps to L5 senior IC field-sales level. no evidence of manager-of-managers scope elevating to L6.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-014,Flix,Commercial Market Specialist/Manager (m/f/d),skip,skip,47,L4,75,"Role requires 2+ years revenue/pricing/commercial experience and targets a specialist/manager scope at a mid-stage mobility company. No management headcount, reporting line, or company seniority signal provided. Title ""Commercial Market Manager"" and cross-functional steering responsibilities suggest L4 equivalent (3–5 years IC ownership and influence), though lack of company-size context and absence of people-management scope keep confidence at 75.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-015,Celonis,Associate Applied AI Engineer (Japan) - Orbit Program,skip,blocked,36,L3,75,Entry-level graduate/Orbit program targeting career starters. No years requirement specified. positioning as 12-month internship-like experience for early-career professionals. Reports to Value Engineering CoE leadership in a structured mentorship program.,False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-016,Snowflake,"Senior Technical Support Engineer, Observe by Snowflake",skip,blocked,28,L5,78,"Role requires 5+ years technical support/SaaS, mentoring scope, high-stakes on-call ownership, and technical leadership (designing AI skills, driving engineering coordination). This spans senior-IC and early-manager expectations, consistent with L5 (6–9 years established senior ownership). Confidence is 78 because company stage is not stated in JD or Role JSON."".",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-017,Databricks,Staff Product Manager,skip,skip,43,L5,78,"6+ years PM required, reports to (inferred) product leadership at a scale-stage company (10K+ customers, 50%+ Fortune 500). Ownership of end-to-end product lifecycle, strategy, OKR definition, and cross-functional launch coordination signals senior IC/lead scope. No manager-of-managers mentioned. L5 is appropriate for staffed senior PM.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-018,Xero,Senior Engineer,skip,blocked,33,L5,72,"Senior Engineer title with independent ownership of complex multi-product features, global stakeholder navigation, and mentoring scope suggests L5 senior IC. No explicit years-required stated. reporting to GM of Engineering (mid-tier report) and high-visibility cross-functional work support L5, not L6. Company size (Xero is mid-market SaaS) and UK regional scope do not elevate above L5.",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-019,Helsing,Avionics Systems Engineer - Safety Critical Systems,skip,blocked,18,L6,75,"Role requires leadership of technical systems-engineering lifecycle for safety-critical avionics, reporting to Chief Engineering and Programme Management. Deep domain expertise (ARP4754, ARP4761, DO-178C, DO-254), aviation authority relationships, and Guidance Navigation & Control specialization are non-negotiable. This is a senior technical leadership position (L6 equivalent) in a specialized domain where 8-12+ years of avionics/aerospace background is implicit.",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-020,Pigment,AI Deployment Strategist,skip,blocked,81,L4,72,"Role requires 2–5 years in technical, client-facing, or implementation roles (L4 anchor). reports to Professional Services function with cross-functional engineering/product partnership. No management scope or title escalation evident. Company size (600+, $400M raised, Gartner Visionary) suggests established growth-stage SaaS. no director/manager-of-managers signal. Estimate L4 with moderate confidence. lack of company stage detail and ambiguity on customer scope reduce certainty.",True,True,True,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-021,Mistral AI,"CyberSecurity Engineer, Incident Response Lead",skip,blocked,27,L5,70,"Role explicitly stated as Senior/Staff at Mistral AI. reports to SOC Lead. requires significant incident response and forensics experience (multi-year leadership scope). end-to-end incident ownership, incident command, and eventual team-building/mentoring potential indicate L5–L6 scope. Given no company-size context in role JSON, confidence is 70 rather than higher, but title and responsibility scope anchor this as L5 minimum.",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-022,Xero,Partner Development Representative,skip,skip,33,L3,70,"Role is an individual-contributor, phone-based Partner Development Representative with no stated management scope, no years-experience requirement, and responsibility limited to lead qualification and handoff. Title and duties map to L3 graduate or early-career commercial role. Company size/stage not stated in JD (lowers confidence modestly).",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-023,OpenAI,Forward Deployed Engineer - London,skip,blocked,46,L5,78,"5+ years required engineering/deployment experience with customer-facing work, full-stack system design and production rollout, code authoring in Python/JavaScript, and LLM system deployment. Reporting line not stated. Hybrid London-based role with 50% travel. At a frontier-AI company scale, this positions the role at mid-to-senior IC (L5). lack of management scope and explicit 5-year anchor keep it below L6.",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-024,HelloFresh,Sr. Category Manager - Indirect Procurement CapEx (all genders),skip,blocked,48,L5,76,"Sr. Category Manager reporting to Director-level cluster lead. minimum 7 years experience required (. European-scope multi-category P&L ownership and stakeholder management with senior ops leadership suggest established IC or junior manager responsibility. Role does not indicate management of a team, but strategic category accountability and cross-regional execution align with L5 IC scope. HelloFresh stage/size not stated. large food-tech enterprise context supports L5 estimate rather than L4.",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-025,Stripe,"Integration Engineer (Client facing), Professional Services",skip,blocked,37,L5,72,"Role requires 4+ years software engineering or integration engineering (L4 anchor), customer-facing technical advisory, hands-on keyboard implementations, and code-level debugging of production systems. These responsibilities and skill demands map to established L5 professional-services or field-engineering scope at a mature fintech/payments platform. Company size (Stripe, mature) and EMEA delivery team structure reinforce L5 estimate.",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-026,Parloa,Staff Product Designer - Consumer Experience,skip,skip,32,L5,75,"Staff Product Designer role at scale: 8+ years product design experience with 2+ years lead capacity indicates L5-L6 design IC level. ""Staff"" title, multimodal and consumer-scale scope, and cross-functional design leadership ownership align with L5 baseline. Company size/stage (post-Series B/C based on investor mentions) supports mid-to-senior IC level. No VP/Director/Head signal present in JD. Estimated L5 as senior IC design leader without manager-of-managers scope.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-027,Airwallex,"Director, Product Strategy",consider,consider,75,L6,82,"Director-level title with 10+ years required experience. explicit C-level stakeholder management, strategy formulation across global multi-product organization, and governance ownership map to L6 scope. JD emphasizes strategy formulation, operational change at scale, and executive-level influence as core accountabilities, consistent with senior-IC or manager-of-low-managers scope at L6.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-028,OpenAI,"Consumer & Product Communications Lead, APAC",skip,skip,38,L6,85,"The JD requires at least 12 years of professional experience, a hard seniority anchor that maps the posted role to L6.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-029,Mistral AI,"Applied AI, Technical Lead, Forward Deployed AI Engineer - EMEA",skip,blocked,33,L6,78,"JD requires 7–8+ years in AI/ML with 2+ years in technical leadership (Tech Lead, Engineering Manager, Solutions Architect) for AI products. involves team leadership, deep technical strategy, and hands-on IC coding in complex systems. This signals L6 (senior IC with team leadership, strategic influence, and complexity ownership) on the Google ladder, typical for a senior engineering or technical-product role with dual IC and mentoring scope."".",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-030,Mistral AI,AI Deployment Strategist - UK,skip,blocked,78,L5,72,"JD requires 2+ years client-facing strategic/technical role, degree in relevant field, and hands-on AI deployment experience. Role emphasizes executive advisory, cross-functional strategy, and production deployment accountability across multiple customers. This profile maps to mid-senior IC (L5) scope in a growth-stage setting. reporting line and company size are not stated, lowering confidence slightly.",True,True,True,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-031,Sierra,"Strategist, Agent Development (Dutch speaking)",skip,skip,56,L5,72,"Strategist title focusing on agent product strategy, customer advisory, and multi-project execution across technical and non-technical stakeholders. No explicit years or people management scope stated. complexity and strategic responsibility suggest 5–7 year senior-IC range. Company stage and reporting context not disclosed, reducing level confidence.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-032,OpenAI,"Researcher, Training - London",skip,skip,24,L6,85,"Role requires deep LLM research and model-training expertise, hands-on architecture design and optimization, autonomous empirical work, and landing major contributions to LLM training runs. These are L6-equivalent research-track competencies at a frontier AI organization. JD does not state years of experience, team size, or reporting line. London-based hybrid research role at OpenAI implies senior IC or early-senior researcher scope.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-033,Snowflake,"RVP, APJ Partner SE",skip,skip,46,L6,78,"Regional VP with 4+ years direct line management and 15+ years industry experience requirement anchors to L6. Vice-President title, team ownership, P&L responsibility, reporting to VP, and escalation ownership for customers and product leadership across partner tiers and complex enterprise segments (GSI/CSP/DCP/SAP) are L6+ signals. No information on company size/stage provided in Role JSON.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-034,Databricks,"Sales Director, Enterprise - Telco",skip,skip,36,L6,75,"Sales Director role requiring 10+ years in sales leadership, team management, and telco vertical mastery. reporting is assumed regional/enterprise level within Databricks. Scope includes team scaling, GTM strategy, and complex stakeholder management. This is unambiguously L6 (Senior Manager / Director equivalent) in scope and seniority signals.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-035,Spotify,Head of Government Affairs Australia New Zealand,skip,skip,27,L5,75,"Title ""Head of Government Affairs"" implies regional leadership ownership and executive portfolio scope. No explicit years required. Spotify company size and media-sector complexity suggest L5–L6 seniority. Estimated L5 based on regional (not global) scope, reporting line not stated, and lack of manager-of-managers language in JD.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-036,Flix,Betriebskontrolleur (m/w/d),skip,skip,15,L4,65,"FlixTrain Safety Inspector (Betriebskontrolleur) requires formal locomotive driver certification (Triebfahrzeugführer) and deep railway operations regulatory knowledge. field inspection scope and individual-contributor safety accountability map to L4 IC. No management scope evident. JD does not state company stage, complicating confidence slightly.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-037,Block,Staff Solutions Engineer,skip,blocked,36,L5,75,"Role requires 8+ years in technical customer-facing or solutions-engineering roles, hands-on full-stack development, and enterprise/partner integration leadership. JD explicitly emphasizes engineering depth, API proficiency, POC delivery, and technical domain credibility. This is a senior-IC engineering-heavy role, estimated at L5 in a mid-to-large organization (Block is public). Confidence is moderately high. company stage is known (established public). years required are clear (8+).",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-038,Sierra,"Strategist, Agent Development (German speaking)",consider,consider,79,L5,68,"JD emphasizes complex multi-project execution, customer advisory, stakeholder coordination, and strategic decision-making across full development lifecycle. reporting and company context (Sierra founded by Google/Salesforce executives, scaling AI platform) suggest established-stage growth role. No explicit years posted. ""Strategist"" title at product-stage company with cross-functional scope and trusted-advisor accountability point toward L5 IC or Lead-level equivalent. Confidence is moderate due to ambiguity in exact seniority signaling and lack of posted years requirement.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-039,Airwallex,"Manager, Internal Audit (Compliance)",skip,skip,40,L4,78,"JD requires 5–8 years as professional auditor or financial industry practitioner with specific compliance/fraud/regulatory expertise. Role is Senior Manager/IC-lead equivalent (manager-of-managers scope is not indicated). Title and scope point to L4, with L5 reachable only with deep compliance or audit background, which.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-040,Sierra,"Strategist, Agent Development (Arabic speaking)",skip,skip,56,L5,75,"JD calls for degree in CS/Engineering/Math or equivalent. requires strong software development and product management understanding. scope spans agent design, multi-project execution, technical-stakeholder leadership, and customer advisory strategy. These signals and the customer-advisor scope suggest L5 IC or equivalent senior operator. company stage (founded by ex-Google/Salesforce/Facebook leaders, multi-office global presence) supports L5 baseline.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-041,Xero,Customer Experience Billing Specialist,skip,skip,44,L3,78,"Job describes a specialist billing-operations role with no stated people management, no clear 5–9 year requirement, and primary scope in transaction processing, payment reconciliation, and customer education in a small distributed team. Language emphasizes individual contributor execution (""you will be responsible"") with fast-learner expectations on Zuora/Intercom, typical of an L3 operations specialist.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-042,Airwallex,"Senior Product Manager, Transaction Risk",skip,skip,56,L5,82,"Senior PM role requires 6+ years PM experience. JD emphasizes end-to-end product ownership, cross-functional leadership across Risk/Compliance/Ops/Data/Eng, and regulatory navigation in scaled fintech. Title + scope maps to L5 senior IC in Google ladder. no manager-of-managers signal present, ruling out L6.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-043,Stripe,"Integration Reliability Engineer, Technical Operations",skip,blocked,39,L4,72,"3+ years minimum technical experience required. reporting to unspecified TechOps leadership in a newly formed team. scope is end-to-end technical initiative ownership with coding, SQL, data-pipeline debugging, and partner integration responsibilities. This is consistent with L4 IC scope (senior IC or lead without direct reports).",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-044,Airbnb,"Manager, Premium Support (Italian/English)",skip,skip,52,L4,75,"Role requires 8+ years of progressive experience with 5 years directly managing staff, plus line-management of 10–15 people, performance planning, and employee lifecycle ownership. This is standard L4 (Manager/Senior Manager) scope. No company size/stage context narrows confidence slightly, but title and scope are clear for mid-sized, established tech company.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-045,Quantium,Business Development Lead | FMCG,skip,skip,31,L4,75,"Role requires 5+ years of direct sales with proven quota achievement and revenue targets—a clear L4 commercial-execution requirement. Reporting line, company size/stage context, and scope confirm L4 independent contributor or manager-equivalent. no indication of director-level managing-manager scope. JD emphasizes direct sales cycle ownership and pipeline accountability over strategic leadership.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-046,Checkout.com,Analytics Engineer,skip,blocked,54,L4,70,"Role requires hands-on data engineering, modeling, and SDLC rigor with no management scope or years stated explicitly. Title ""Analytics Engineer"" in a fintech scale-up context, paired with end-to-end data-product ownership and cloud-warehouse infrastructure, suggests mid-level IC (L4). No evidence of senior/principal scope or management-of-managers. company stage not stated, reducing confidence.",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-047,Flix,Full-stack (Kotlin) Engineer (m/f/d) - Team Payments,skip,blocked,21,L4,78,"JD requires 3–4 years backend/full-stack and 2+ years production Kotlin, solid database and testing experience, and hands-on code shipping. This profile maps to L4 (mid-level IC, 3–5 years specialist experience required). Company stage is not stated, but the scope is standard engineering-delivery, not transformation. Confidence is moderate due to missing company-size context.",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-048,Databricks,Sr. Solutions Architect,skip,skip,40,L5,72,"Role requires 'prior experience with coding in a core programming language' and 'hands-on expertise with complex proofs-of-concept and public cloud platform(s).' It is a senior individual contributor (Solutions Architect) with coaching and influence scope over junior architects and decision-makers, reporting implicitly to a territory/account leadership structure. The JD emphasizes technical depth and customer advisory at scale (40%+ Fortune 500 customer base).",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-049,Xero,"Senior Business Operations Manager - Risk, Ethics, Advocacy & Legal (12 month Contract)",skip,skip,55,L5,72,"Role requires deep operational expertise in legal/compliance, hands-on Confluence/wiki architecture and governance, and successful AI technology selection/implementation. JD signals 5–7 years baseline plus demonstrated strategic impact. reporting to REAL ops leadership. company stage not stated. Title and scope align with senior IC or early manager responsibility: L5.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-050,Block,"Senior Manager, Strategic Finance, Channel Sales",skip,skip,58,L5,78,"Senior Manager title with 8+ years required in corporate/strategic finance, GTM operating model leadership, and autonomous strategic decision-making for senior stakeholders. Reporting to Strategic Finance Lead (not VP) and cross-functional scope (Sales, RevOps, Data, Product) suggest established senior-IC or early-manager ownership typical of L5. Company stage/size not explicitly stated, reducing confidence slightly.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-051,Anthropic,"Research Engineer / Scientist, Alignment Science - London",skip,blocked,22,L5,65,"JD requires ""significant software, ML, or research engineering experience"" and authoring research papers as a strong. Salary band (£260–370k) and emphasis on collaborative empirical research suggest senior IC (L5) rather than entry (L3–L4). However, no explicit years minimum stated, and company stage/size context unclear, limiting confidence.",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-052,Airwallex,Senior Director of Operational Risk (Framework & Governance),skip,skip,33,L6,92,"Senior Director title with 12–15+ years required experience, 5+ years managing global multi-regional 2LoD teams, and credible engagement with C-suite and regulators. JD scope spans end-to-end framework ownership, controls architecture, and executive governance—characteristic of L6 senior IC or manager-of-managers in risk leadership.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-053,OpenAI,"Manager, Forward Deployed Engineering - London",skip,blocked,67,L6,85,"Role specifies 8+ years technical-delivery experience with 2+ years managing high-performing FDE, team growth ownership, end-to-end delivery accountability, and influence on product/research roadmap. Reporting relationship and company scale (OpenAI, frontier AI context) signal senior leadership scope. This is a manager-of-managers (or equivalent team-scaling) role with customer-facing stakes and cross-functional influence, positioning it at L6 equivalent.",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-054,Stripe,"Solutions Architect, Startups and SMB",skip,skip,41,L5,78,"JD specifies 4+ years with 1+ year pre-sales minimum. role scope is enterprise/large-customer technical architecture, customer engagement, and internal advocacy. No management headcount stated. Reporting line unspecified. Stripe scale implies established IC L5 scope. Language and customer engagement requirements elevate complexity beyond junior IC.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-055,Anthropic,"Commercial Counsel, GTM",skip,blocked,56,L4,70,"Role requires 3–5 years of legal experience with active bar membership, SaaS/tech-transaction specialization, and independent drafting/negotiation. At a scale-stage AI company (Anthropic), this is a practicing attorney role—mid-level IC (L4 equivalent). Company size or stage detail is limited in the JD. level confidence is modest due to that ambiguity, but the legal-credential and experience floors are non-negotiable regardless of company size.",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-056,N26,KYCO Intern,skip,skip,22,L3,90,"Internship role explicitly targeting students or recent graduates with no years of experience required, no management scope, entry-level case-investigation and operational-support duties, and flat reporting within a team. High confidence due to clear internship language in title and scope.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-057,OpenAI,"Head of GTM Partnerships, EMEA",skip,stretch,69,L6,75,"15+ years required, multi-country team leadership ('recruit, develop, and lead GTM Partner Directors across EMEA'), VP-equivalent P&L and strategic ecosystem ownership, executive engagement with CEOs and Managing Partners, and explicit 'Head of' title anchor this to L6. No company stage/size context in JD, but role scope and explicit tenure anchors support L6 classification with high confidence.",False,False,,True,False,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-058,Helsing,Senior Project Manager – Physical Products,skip,blocked,41,L5,72,"Senior Project Manager role requiring 6+ years of large-scale programme delivery in defence/military contexts with PMP certification or equivalent. Reports to company leadership. governs multi-stakeholder, high-stakes physical product delivery with budget, schedule, and contractual accountability. Estimated L5 based on 6-9 year experience anchor, cross-functional ownership scope, and senior stakeholder engagement. defence specificity and manufacturing-through-field expertise are material seniority signals within the domain.",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-059,Waymo,"Senior Safety Researcher, Computational Behavior Modeling",skip,skip,21,L6,85,"Role requires a doctoral degree (L6+ signal) and ""at least 5 years...strong publication record"" in specialized computational behavior modeling research, plus technical leadership in research direction and external academic partnerships. Reporting to Senior Staff Safety Researcher, conducting publishable research, and leading metrics/model innovation across Waymo's simulation infrastructure indicate L6 academic-research seniority.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-060,Celonis,Enterprise Architect Director,skip,blocked,40,L6,75,"Role explicitly requires 20+ years, proven management of Enterprise Architect teams or technical teams at top consulting or SaaS vendor, executive C-level engagement, and strategic architecture leadership. These signals collectively map to L6 (Senior Manager/Director scope managing specialized technical teams and customer executives). Company stage is not specified in JD, but Celonis context as fast-growing enterprise SaaS with multi-office global presence reinforces senior-leadership scope."".",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-061,Mistral AI,Product Monetisation & Pricing Lead,consider,consider,73,L5,75,"JD requires 8–10 years GTM/product/strategy with ≥5 years pricing. reporting to Head of Product Operations. design, financial modelling, and cross-functional execution scope across pricing and revenue architecture. This aligns with L5 senior IC / established ownership. no managing-manager scope noted. Confidence moderated by lack of stated company size and early-stage capital context.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-062,Checkout.com,"Senior Associate, Strategic Pricing",skip,skip,58,L4,75,"Title ""Senior Associate"" with 3–5 years of implied pricing/commercial experience required. Scope spans cross-functional strategy, data analysis, and market research with stakeholder influence across Product, Finance, and Commercial. No manager-of-managers or Director-level scope stated. Aligns with L4 mid-career ownership in a fintech scale-up.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
