role_id,company,role_title,label,expected_recommendation,actual_recommendation,expected_feasibility,actual_feasibility,expected_tier,actual_tier,expected_blocked,actual_blocked,fit_score,estimated_level,level_confidence,level_rationale,recommendation_match,surface_match,blocker_match,feasibility_match,fit_band_match,evaluator_version
EV-11,Google,Commercial Strategy & Operations,clean_apply,apply_now,apply_now,viable,viable,tier_1,tier_1,False,False,83,L5,60,"Posted role title is ""Commercial Strategy & Operations"" in Google's Strategy & Operations department, multi-geography scope (Sydney/Singapore/London). Typical S&O roles at Google in this function for L5 reflect 6–9 years required experience, established ownership of commercial or transformation programs, and cross-regional coordination. JD is corrupted and unreadable; confidence is lowered due to missing explicit requirements, reporting line, and scope detail.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-12,Rokt,Revenue Operations & Strategy Lead,consider,consider,consider,viable,viable,tier_2,tier_2,False,False,70,unknown,5,"Role title is ""Revenue Operations & Strategy Lead"" at Rokt (company stage unknown). Title suggests L4–L5 IC lead or early manager, but without JD text stating years required, team scope, reporting line, or strategic ownership depth, no confident level estimate is possible. Must-have signals are completely absent from the cached metadata.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-13,Grab,"Manager, Strategy & Programs (Autonomous Vehicle)",consider,consider,consider,viable,viable,tier_2,tier_2,False,False,70,L4,65,"Role title is Manager with Strategy & Programs scope, indicating individual-contributor or first-level management in a strategic function. No reporting line, team size, or years-of-experience requirement stated in JD; company stage is unknown. Mapped conservatively to L4 based on manager title and strategic program ownership, typical for mid-level operations and strategy roles.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-14,Checkout.com,"Strategy, CEO Office",consider,consider,consider,viable,viable,tier_2,tier_2,False,False,70,L5,45,"JD is corrupted and unreadable. Title ""Strategy, CEO Office"" at an unknown-stage fintech suggests L5–L6 scope (5–8 years or senior-IC strategy ownership), but without JD text, team scope, reporting clarity, or company stage, confidence is low. CEO Office roles are often L5–L6 at scale-stage companies; interpret cautiously pending clean JD.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-15,Salesforce,"Senior Manager, Sales Strategy & Operations",consider,consider,apply_now,viable,viable,tier_2,tier_2,False,False,81,L5,75,"Senior Manager title with multi-function ownership, reporting to strategy/operations leadership, and P&L or revenue strategy accountability typical of L5 IC or manager-of-managers on enterprise GTM teams. Salesforce is a large enterprise; role likely manages strategic programs across sales regions or functions. No specific years required stated; strong manager-of-managers or senior IC scope implies L5-L6 range; title suggests L5 is more probable.""",False,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-16,Databricks,Deployment Strategist,stretch_fds,apply_now,consider,viable,viable,tier_1,tier_1,False,False,72,unknown,5,"Posted-role JD is unreadable due to HTML/CSS pollution. Cannot extract years required, seniority signals (reporting line, scope), or management breadth from the Role JSON. Estimate: unknown.",False,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-17,Sierra,"Strategist, Agent Development",stretch_fds,consider,consider,viable,viable,tier_1,tier_1,False,False,74,L4,60,"Posted role is ""Strategist, Agent Development"" at Sierra (founded 2023, early-stage). No explicit years required, management scope, or reporting line stated in available JD. Title pattern and multi-office/customer-facing execution suggest L4 independent contributor or early lead role. Salary not provided. Early-stage context precludes senior anchors; confidence limited by minimal JD detail.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-18,Mistral,AI Deployment Strategist,stretch_fds,consider,consider,viable,viable,tier_2,tier_2,False,False,78,L4,70,"Title ""AI Deployment Strategist"" suggests 4–5 year independent contributor or emerging team-lead scope. JD emphasizes customer engagement, strategic deployment, and adoption management rather than deep technical engineering. Professional Services Operations context signals mid-senior IC or first-line leadership. Company size/stage unknown, limiting precision. Estimated L4 based on 3–5 year range anchor and independent strategic scope without clear manager-of-managers evidence.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-19,Palantir,Deployment Strategist,owner_opt_out,skip,skip,viable,viable,tier_2,tier_2,False,False,55,L4,45,"Deployment Strategist title in Professional Services Operations suggests L4–L5 IC or junior manager scope, but company size and role maturity are unknown. Without full JD, years required, team scope, or reporting line, confidence is low. JD snapshot is truncated, preventing level anchoring.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-20,Stripe,"Strategy & Operations, Global Partnerships",reach,stretch,stretch,viable,viable,tier_1,tier_1,False,False,69,L5,62,"Role title suggests established Operations IC or early leadership scope in Strategy & Operations at Stripe. Global partnerships role with cross-functional coordination implies middle-to-senior IC ownership; Stripe is a scale-stage company. No explicit years requirement, management scope, or reporting line stated. Estimated L5 (senior IC) as working hypothesis; incomplete JD limits precision.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-21,ServiceNow / Moveworks,"Senior Customer Success Manager, Enterprise",cs_deprioritize,skip,skip,viable,viable,tier_3,tier_3,False,False,30,L5,60,"Senior Customer Success Manager, Enterprise title suggests L5 (senior IC ownership of one or more strategic accounts) or L4-L5 boundary depending on team size and account base. Without clear company-size context in working JD, confidence is moderate. Enterprise scope and seniority in title typical for L5 IC or senior L4.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-22,Harvey,Majors Customer Success Manager,cs_deprioritize,skip,skip,viable,viable,tier_3,tier_3,False,False,12,L4,40,"Title ""Majors Customer Success Manager"" suggests L4 account ownership scope, but without full JD text, seniority is uncertain. No company size, team structure, or strategic scope stated; defaulting to typical large-account CSM level (L4) pending full JD retrieval.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-23,Glean,Enterprise Customer Success,cs_deprioritize,skip,skip,viable,viable,tier_3,tier_3,False,False,19,L4,45,"Enterprise Customer Success typically maps L4 for mid-market/enterprise scope with account ownership, but JD is corrupted careers-page HTML with zero substantive detail. Estimated L4 based on 'Enterprise' title only; actual level cannot be confidently assessed without clean role description.""",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-24,Cognition (Devin),GTM Operations Associate,below_level_by_scope_not_title,skip,consider,viable,viable,tier_2,tier_2,False,False,70,L3,35,"Title ""Associate"" typically signals 0–2 years and entry/early-career scope (L3). No explicit years required, management scope, or seniority markers in the cached JD snippet. Company size/stage unknown. Low confidence due to incomplete JD text and ambiguous role scope.",False,False,True,True,False,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-25,Airwallex,"Manager, Revenue Operations",below_level_by_scope_not_title,skip,skip,viable,viable,tier_2,tier_2,False,False,35,L4,50,"Title ""Manager"" typically anchors to L4 (single team, IC or small-team lead, 3-5 years expected). No years-required statement, team size, or reporting line evident in truncated JD. Stage/size context unknown. Level confidence reduced due to JD incompleteness.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-26,Datadog,GTM Strategy & Operations Analyst,below_level,skip,stretch,viable,viable,tier_3,tier_3,False,False,62,L3,25,"Title is 'Analyst' with no JD body, responsibilities, or context. At face value, 'Analyst' typically signals L3 or entry-level scope. No years required, reporting line, team size, or seniority signals in the provided text. Company stage is unknown.",False,True,True,True,False,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-27,Disney,"Principal, Streaming Strategy & Operations",visa_blocked,blocked,blocked,blocked,blocked,tier_2,tier_2,True,True,55,L5,82,"JD requires 10+ years ProdOps/Strategy/Analytics at top-tier companies, reporting to CPTO, with Principal title and $187-252K salary range. Principal typically maps to L5 senior-IC; 10+ years requirement anchors L5-L6 range. Scope is analytical leadership and operational rigor for streaming org overseen by multiple product/engineering leaders. Disney Entertainment is a large established media-tech enterprise. Without manager-of-managers language, L5 is appropriate; L6 would require clearer team leadership scope.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-28,Plaid,Integration Operations Program Manager,visa_blocked,blocked,blocked,blocked,blocked,tier_3,tier_3,True,True,47,L4,50,"Role title is ""Integration Operations Program Manager"" at Plaid with no years required, management scope, or reporting line stated. Company stage is marked unknown. Title alone suggests L4–L5 scope (manager-level ownership), but JD content is unreadable. Without clarity on whether this is a strategic platform role or a tactical program-execution seat, confidence in level is low.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-29,Roblox,"Lead, Strategic Initiatives",visa_blocked,stretch,stretch,sponsorship_required,sponsorship_required,tier_3,tier_3,False,False,64,L4,25,"Title ""Lead, Strategic Initiatives"" in Strategy & Operations typically maps to L4 IC leadership or early L5, but company stage (unknown unless stated in JD) and specific scope details are unavailable. The 404 error prevents assessment of years-required, reporting line, team size, or strategic scope. Without the actual JD, this estimate carries low confidence.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-30,Roblox,"Product Manager, Consumer Payments and Subscriptions",technical_blocker,blocked,blocked,blocked,blocked,tier_3,tier_3,True,True,44,L4,72,"JD calls for 3–6 years PM experience with consumer product and monetization expertise, no management scope described, and reports to Sr. Director Product. This signals a solid mid-level IC PM role. Title and years-to-responsibility align with L4 (strong IC, lead-level scope without direct people management). Roblox company size not stated in JD, lowering confidence; public-stage tech company and stated base salary ($183.5K–$229K) are consistent with L4 PM in San Francisco Bay Area.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-31,Arondite,Deployment Strategist,technical_blocker,blocked,blocked,blocked,blocked,tier_3,tier_3,True,True,47,L5,65,"Deployment Strategist at a well-funded, scaling startup with end-to-end customer ownership, multi-workstream technical leadership, and direct user engagement scope suggests L5 senior-IC or early-lead band. JD emphasizes autonomy and hands-on program leadership rather than pure management; no reporting hierarchy or manager-of-managers scope stated. At a startup stage and mission-driven context, this maps to ~L5 (Senior Manager / Principal IC equivalent).",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-32,AutoScout24,AI Process Transformation Lead,brand_deprioritize,skip,stretch,viable,viable,tier_3,tier_3,False,False,62,L4,40,"Title ""AI Process Transformation Lead"" in Strategy & Operations suggests L4–L5 ownership scope and likely 5–8 years of relevant transformation or operations experience. Company size/stage unknown; no salary or reporting-line detail provided. JD is unreadable, preventing confident level anchoring from actual requirements or seniority signals.",False,True,True,True,False,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-33,OutSystems,Lead Customer Success Manager,brand_deprioritize,skip,skip,viable,viable,tier_3,tier_3,False,False,30,L4,45,"Role title ""Lead"" and multi-location CSM scope (Singapore/London) suggest IC ownership and some team mentorship, consistent with L4 IC or junior manager duties. However, the cached JD is severely incomplete (contains mostly website markup and no coherent job description text), preventing confident anchoring by years required, management scope, reporting line, or company context. Low confidence due to missing substantive JD content.",True,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
